Topic   SysID   Length   AutoSummENG_MeMoG
M002   ID7   250        0.23874192
M002   ID6   250        0.42720929
M002   ID1   250        0.22273817
M002   ID10   250        0.54335145
M002   ID3   250        0.38974281
M002   ID2   250        0.36477035
M002   ID8   250        0.28021011
M002   ID4   250        0.51233976
M002   ID9   250        0.32085270
M003   ID2   250        0.50637957
M003   ID7   250        0.27366747
M003   ID9   250        0.39618446
M003   ID6   250        0.31593576
M003   ID3   250        0.53410300
M003   ID4   250        0.39314957
M003   ID8   250        0.31391237
M003   ID10   250        0.81737320
M003   ID1   250        0.51833550
M001   ID8   250        0.21637419
M001   ID9   250        0.18217296
M001   ID10   250        0.46022929
M001   ID4   250        0.30403376
M001   ID7   250        0.26594543
M001   ID2   250        0.32159906
M001   ID1   250        0.24634743
M001   ID3   250        0.25698501
M001   ID6   250        0.23237293
M000   ID6   250        0.62792271
M000   ID3   250        0.46522245
M000   ID1   250        0.26076828
M000   ID4   250        0.48296468
M000   ID8   250        0.37488762
M000   ID9   250        0.21003764
M000   ID7   250        0.27334879
M000   ID10   250        0.80479494
M007   ID8   250        0.30301430
M000   ID2   250        0.30089215
M007   ID3   250        0.53661684
M007   ID2   250        0.43298811
M007   ID1   250        0.31626094
M007   ID9   250        0.29628154
M007   ID4   250        0.49690193
M007   ID10   250        0.58069121
M007   ID7   250        0.24108926
M005   ID9   250        0.20275234
M007   ID6   250        0.33885748
M005   ID6   250        0.17347006
M005   ID3   250        0.36562559
M005   ID7   250        0.21945932
M005   ID4   250        0.22083627
M005   ID1   250        0.33031477
M005   ID10   250        0.67763068
M005   ID2   250        0.29328281
M005   ID8   250        0.25803477
M004   ID7   250        0.29601010
M004   ID3   250        0.65724101
M004   ID9   250        0.31261078
M004   ID6   250        0.27080230
M004   ID8   250        0.35571095
M004   ID2   250        0.44022455
M004   ID4   250        0.38747785
M004   ID1   250        0.22636088
M004   ID10   250        0.62523105
M006   ID9   250        0.33143032
M006   ID6   250        0.18083328
M006   ID10   250        0.71371738
M006   ID1   250        0.26841901
M006   ID8   250        0.25047671
M006   ID2   250        0.28964698
M006   ID3   250        0.61850797
M006   ID7   250        0.20722670
M008   ID6   250        0.41578400
M006   ID4   250        0.31274518
M008   ID8   250        0.33148990
M008   ID9   250        0.33931646
M008   ID2   250        0.34197029
M008   ID7   250        0.26919501
M008   ID3   250        0.51742087
M008   ID1   250        0.27806365
M008   ID10   250        0.71635304
M008   ID4   250        0.38738832
M009   ID3   250        0.48607898
M009   ID1   250        0.30107077
M009   ID7   250        0.32740646
M009   ID4   250        0.33161744
M009   ID9   250        0.22930461
M009   ID10   250        0.71736276
M009   ID6   250        0.42076868
M009   ID8   250        0.36821445
M009   ID2   250        0.39411695
