Topic	SysID	Length	AutoSummENG_MeMoG
M002   ID1   250        0.24378387
M002   ID10   250        0.72718179
M002   ID7   250        0.47696796
M002   ID4   250        0.51731349
M002   ID3   250        0.45407447
M002   ID2   250        0.45947945
M003   ID7   250        0.28213816
M002   ID9   250        0.25797162
M003   ID2   250        0.31740120
M003   ID9   250        0.43614728
M003   ID10   250        0.80883874
M003   ID3   250        0.45400403
M003   ID4   250        0.24332293
M003   ID1   250        0.52320558
M001   ID9   250        0.34228324
M001   ID10   250        0.67505892
M001   ID4   250        0.40781383
M001   ID7   250        0.29923971
M001   ID1   250        0.39400510
M001   ID2   250        0.30780561
M001   ID3   250        0.50522829
M000   ID3   250        0.42794393
M000   ID4   250        0.42226054
M000   ID1   250        0.39014589
M000   ID9   250        0.30902004
M000   ID7   250        0.25747146
M000   ID10   250        0.75207042
M000   ID2   250        0.38197338
M007   ID3   250        0.49829897
M007   ID4   250        0.28980356
M007   ID1   250        0.49751942
M007   ID2   250        0.49331890
M007   ID9   250        0.28466405
M007   ID10   250        0.68946854
M005   ID9   250        0.25731151
M007   ID7   250        0.37243561
M005   ID7   250        0.18288522
M005   ID3   250        0.26290102
M005   ID10   250        0.65799074
M005   ID2   250        0.35336154
M005   ID4   250        0.29590133
M005   ID1   250        0.22996784
M004   ID3   250        0.41272435
M004   ID7   250        0.25395563
M004   ID9   250        0.28014392
M004   ID2   250        0.41863771
M004   ID1   250        0.46025413
M004   ID4   250        0.43442276
M006   ID9   250        0.21556440
M004   ID10   250        0.65493572
M006   ID10   250        0.63287571
M006   ID1   250        0.15247059
M006   ID3   250        0.54773246
M006   ID2   250        0.33193931
M006   ID4   250        0.42481736
M006   ID7   250        0.32935124
M008   ID2   250        0.42860895
M008   ID9   250        0.43253381
M008   ID3   250        0.44794522
M008   ID7   250        0.36097431
M008   ID1   250        0.33008206
M008   ID4   250        0.43889767
M009   ID3   250        0.29036781
M008   ID10   250        0.58839864
M009   ID1   250        0.39317770
M009   ID7   250        0.34957440
M009   ID9   250        0.30277907
M009   ID10   250        0.69870170
M009   ID4   250        0.22564689
M009   ID2   250        0.23949017
