Topic	SysID	Length	AutoSummENG_MeMoG
M002   ID5   250        0.32643265
M002   ID10   250        0.47346955
M002   ID6   250        0.49898086
M002   ID7   250        0.30361965
M002   ID1   250        0.46691646
M002   ID3   250        0.48914369
M002   ID2   250        0.48875427
M002   ID8   250        0.40994205
M002   ID9   250        0.23977325
M002   ID4   250        0.38653894
M003   ID2   250        0.36217555
M003   ID7   250        0.20027091
M003   ID6   250        0.42685641
M003   ID3   250        0.44302955
M003   ID9   250        0.22538735
M003   ID5   250        0.28027848
M003   ID10   250        0.53654528
M003   ID1   250        0.43936739
M003   ID4   250        0.34494012
M003   ID8   250        0.23106377
M001   ID9   250        0.39850214
M001   ID8   250        0.21099890
M001   ID10   250        0.53296627
M001   ID4   250        0.39307193
M001   ID7   250        0.37416179
M001   ID5   250        0.36222153
M001   ID1   250        0.28485189
M001   ID2   250        0.29739916
M000   ID3   250        0.36056305
M001   ID3   250        0.45199601
M001   ID6   250        0.17155838
M000   ID5   250        0.38282303
M000   ID4   250        0.42716746
M000   ID6   250        0.33929167
M000   ID1   250        0.33258474
M000   ID8   250        0.42365869
M000   ID9   250        0.27028598
M000   ID10   250        0.65942146
M000   ID7   250        0.26576728
M000   ID2   250        0.46353562
M007   ID8   250        0.38870000
M007   ID3   250        0.48942800
M007   ID2   250        0.45089176
M007   ID9   250        0.32165744
M007   ID4   250        0.49801481
M007   ID1   250        0.35096205
M007   ID10   250        0.66402736
M007   ID7   250        0.32437088
M007   ID5   250        0.45097645
M005   ID5   250        0.27126964
M007   ID6   250        0.40301823
M005   ID9   250        0.26944605
M005   ID6   250        0.23717773
M005   ID3   250        0.28453401
M005   ID10   250        0.48070425
M005   ID4   250        0.17023670
M005   ID7   250        0.28866787
M005   ID2   250        0.23656887
M005   ID1   250        0.24514322
M005   ID8   250        0.28447225
M004   ID7   250        0.33314195
M004   ID3   250        0.57679360
M004   ID8   250        0.32532973
M004   ID5   250        0.42070504
M004   ID6   250        0.45805305
M004   ID9   250        0.32486972
M004   ID2   250        0.48351065
M004   ID1   250        0.47669828
M004   ID4   250        0.41389339
M004   ID10   250        0.56761434
M006   ID9   250        0.37167686
M006   ID5   250        0.29113708
M006   ID6   250        0.21021981
M006   ID10   250        0.52146786
M006   ID1   250        0.28035871
M006   ID8   250        0.26617894
M006   ID7   250        0.31649324
M006   ID3   250        0.40300678
M006   ID2   250        0.29104278
M006   ID4   250        0.40272196
M008   ID2   250        0.41534046
M008   ID5   250        0.36401863
M008   ID8   250        0.41078566
M008   ID6   250        0.43712758
M008   ID1   250        0.33442435
M008   ID9   250        0.35720694
M008   ID7   250        0.36735688
M008   ID3   250        0.44657616
M008   ID4   250        0.35434435
M008   ID10   250        0.55714823
M009   ID3   250        0.31107669
M009   ID7   250        0.33465770
M009   ID1   250        0.23210451
M009   ID4   250        0.39479533
M009   ID9   250        0.26438456
M009   ID5   250        0.35041569
M009   ID10   250        0.48450619
M009   ID6   250        0.30859117
M009   ID8   250        0.37254648
M009   ID2   250        0.37036664
