Topic	SysID	Length	AutoSummENG_MeMoG
M002   ID5   250        0.24885254
M002   ID10   250        0.59187276
M002   ID7   250        0.34578152
M002   ID6   250        0.34532689
M002   ID2   250        0.42496839
M002   ID1   250        0.39009238
M002   ID3   250        0.66523619
M002   ID9   250        0.21768671
M002   ID4   250        0.34317134
M003   ID6   250        0.25072517
M003   ID9   250        0.20810885
M003   ID2   250        0.30226009
M003   ID7   250        0.34327571
M003   ID3   250        0.36883331
M003   ID5   250        0.27892200
M003   ID1   250        0.21646755
M003   ID10   250        0.64048419
M003   ID4   250        0.39171400
M001   ID9   250        0.34650187
M001   ID5   250        0.30519779
M001   ID10   250        0.60525086
M001   ID4   250        0.23383696
M001   ID1   250        0.43362699
M001   ID2   250        0.35195197
M001   ID7   250        0.31707413
M001   ID6   250        0.26553171
M001   ID3   250        0.36043121
M000   ID3   250        0.46535095
M000   ID6   250        0.39438113
M000   ID5   250        0.52664909
M000   ID1   250        0.48172323
M000   ID4   250        0.47128983
M000   ID9   250        0.56122978
M000   ID10   250        0.63251423
M000   ID7   250        0.40657331
M007   ID3   250        0.60437319
M000   ID2   250        0.54305622
M007   ID2   250        0.62847099
M007   ID1   250        0.46336398
M007   ID4   250        0.54293339
M007   ID9   250        0.42655507
M007   ID10   250        0.72255351
M007   ID7   250        0.45685535
M007   ID6   250        0.41966998
M005   ID5   250        0.30297656
M007   ID5   250        0.41613549
M005   ID6   250        0.28960974
M005   ID9   250        0.33595450
M005   ID10   250        0.45072935
M005   ID3   250        0.31819020
M005   ID7   250        0.33060571
M005   ID2   250        0.34296734
M005   ID1   250        0.42713568
M005   ID4   250        0.25644183
M004   ID7   250        0.41313278
M004   ID3   250        0.46445730
M004   ID9   250        0.29134214
M004   ID2   250        0.40522194
M004   ID5   250        0.44705764
M004   ID6   250        0.41169779
M004   ID10   250        0.63974619
M004   ID4   250        0.40395610
M004   ID1   250        0.28619388
M006   ID9   250        0.32066515
M006   ID5   250        0.30789724
M006   ID10   250        0.56743641
M006   ID6   250        0.40071849
M006   ID3   250        0.51656751
M006   ID2   250        0.34735789
M006   ID1   250        0.28024129
M006   ID4   250        0.30974779
M006   ID7   250        0.42532674
M008   ID5   250        0.46292966
M008   ID6   250        0.42581913
M008   ID2   250        0.45362521
M008   ID3   250        0.55936105
M008   ID9   250        0.35088647
M008   ID1   250        0.52907777
M008   ID7   250        0.45344474
M009   ID3   250        0.33548275
M008   ID4   250        0.44746643
M009   ID7   250        0.32629128
M009   ID1   250        0.35993416
M008   ID10   250        0.63339148
M009   ID4   250        0.27358005
M009   ID9   250        0.29810253
M009   ID5   250        0.28668120
M009   ID6   250        0.32853128
M009   ID10   250        0.46666696
M009   ID2   250        0.33750529
