Topic	SysID	Length	AutoSummENG_MeMoG
M002   ID1   250        0.28442915
M002   ID10   250        0.46398979
M002   ID7   250        0.25050383
M002   ID2   250        0.39516122
M002   ID4   250        0.26599491
M002   ID3   250        0.36083528
M003   ID2   250        0.35922158
M002   ID9   250        0.29186404
M003   ID7   250        0.30180619
M003   ID9   250        0.29501203
M003   ID3   250        0.40947134
M003   ID1   250        0.36794400
M003   ID4   250        0.39673142
M003   ID10   250        0.56189414
M001   ID10   250        0.45602917
M001   ID4   250        0.35132341
M001   ID9   250        0.22426101
M001   ID7   250        0.28445811
M001   ID2   250        0.37413995
M001   ID1   250        0.28403157
M001   ID3   250        0.44560273
M000   ID3   250        0.31713080
M000   ID4   250        0.31691836
M000   ID1   250        0.33702602
M000   ID7   250        0.31563983
M000   ID9   250        0.29546072
M000   ID2   250        0.34067785
M000   ID10   250        0.49333678
M007   ID3   250        0.43763096
M007   ID2   250        0.45203063
M007   ID4   250        0.45702420
M007   ID9   250        0.27717760
M007   ID7   250        0.36542210
M007   ID10   250        0.60555262
M007   ID1   250        0.31200926
M005   ID9   250        0.29531352
M005   ID3   250        0.23885693
M005   ID2   250        0.32493714
M005   ID7   250        0.26264982
M005   ID10   250        0.52631994
M005   ID4   250        0.13236134
M004   ID3   250        0.41795499
M005   ID1   250        0.31060624
M004   ID7   250        0.31375428
M004   ID2   250        0.40469641
M004   ID9   250        0.38710720
M004   ID1   250        0.34554199
M004   ID4   250        0.37407507
M004   ID10   250        0.50305521
M006   ID10   250        0.54182256
M006   ID9   250        0.33759871
M006   ID3   250        0.35083226
M006   ID1   250        0.22902766
M006   ID2   250        0.34690593
M006   ID4   250        0.31070450
M006   ID7   250        0.23025991
M008   ID3   250        0.40942791
M008   ID9   250        0.28743671
M008   ID2   250        0.45214354
M008   ID7   250        0.35022442
M008   ID1   250        0.26000119
M008   ID4   250        0.35485197
M008   ID10   250        0.59698399
M009   ID3   250        0.33679726
M009   ID7   250        0.19433964
M009   ID1   250        0.32660505
M009   ID4   250        0.34160064
M009   ID9   250        0.22201495
M009   ID2   250        0.29575720
M009   ID10   250        0.48731067
