Topic	SysID	Length	AutoSummENG_MeMoG
M002   ID7   250        0.25342396
M002   ID10   250        0.58140349
M002   ID1   250        0.21913691
M002   ID3   250        0.31721831
M002   ID2   250        0.27399580
M002   ID4   250        0.25685417
M002   ID9   250        0.23376174
M003   ID2   250        0.29241193
M003   ID7   250        0.23355404
M003   ID9   250        0.34177107
M003   ID3   250        0.31993450
M003   ID10   250        0.49211177
M003   ID4   250        0.27199603
M003   ID1   250        0.32420635
M001   ID9   250        0.27990641
M001   ID4   250        0.32982507
M001   ID10   250        0.50686030
M001   ID1   250        0.19500428
M001   ID7   250        0.28599946
M001   ID2   250        0.33333607
M001   ID3   250        0.41583705
M000   ID3   250        0.46789285
M000   ID4   250        0.44613543
M000   ID1   250        0.29573256
M000   ID7   250        0.30884362
M000   ID10   250        0.56317498
M000   ID9   250        0.31999098
M000   ID2   250        0.37033570
M007   ID3   250        0.53390597
M007   ID9   250        0.38554488
M007   ID1   250        0.55414393
M007   ID2   250        0.44063584
M007   ID4   250        0.39435624
M007   ID10   250        0.71251544
M007   ID7   250        0.31367188
M005   ID9   250        0.25172128
M005   ID3   250        0.25706771
M005   ID10   250        0.47562241
M005   ID7   250        0.24744035
M005   ID2   250        0.36569000
M005   ID4   250        0.27654121
M005   ID1   250        0.22289676
M004   ID3   250        0.34291471
M004   ID9   250        0.24064771
M004   ID7   250        0.22950067
M004   ID2   250        0.30958538
M004   ID1   250        0.20987956
M004   ID10   250        0.46061419
M004   ID4   250        0.28129766
M006   ID9   250        0.21814804
M006   ID1   250        0.16460866
M006   ID10   250        0.40456767
M006   ID3   250        0.31297664
M006   ID2   250        0.24009410
M006   ID4   250        0.29084027
M006   ID7   250        0.23757518
M008   ID2   250        0.40183082
M008   ID9   250        0.28679826
M008   ID7   250        0.40836469
M008   ID3   250        0.43273037
M008   ID1   250        0.33203303
M008   ID10   250        0.70340611
M008   ID4   250        0.35717090
M009   ID3   250        0.27843808
M009   ID1   250        0.24768260
M009   ID4   250        0.22202283
M009   ID7   250        0.28008003
M009   ID9   250        0.15777025
M009   ID10   250        0.46634101
M009   ID2   250        0.23983243
