Topic	SysID	Length	AutoSummENG_MeMoG
M002   ID7   250        0.24985396
M002   ID10   250        0.30292322
M002   ID6   250        0.31053810
M002   ID5   250        0.23747674
M002   ID1   250        0.23542472
M002   ID2   250        0.34800715
M002   ID4   250        0.24541818
M002   ID3   250        0.27334531
M002   ID9   250        0.29926243
M003   ID2   250        0.34074522
M003   ID7   250        0.25935824
M003   ID9   250        0.15321644
M003   ID6   250        0.26040872
M003   ID3   250        0.31454548
M003   ID10   250        0.36266862
M003   ID5   250        0.28889649
M003   ID4   250        0.21304494
M003   ID1   250        0.29616470
M001   ID9   250        0.13068534
M001   ID10   250        0.33008410
M001   ID4   250        0.21083152
M001   ID7   250        0.14082075
M001   ID5   250        0.22191052
M001   ID1   250        0.15866158
M001   ID2   250        0.28948558
M000   ID3   250        0.21288538
M001   ID6   250        0.17670499
M001   ID3   250        0.29295525
M000   ID5   250        0.17224349
M000   ID6   250        0.16763333
M000   ID4   250        0.14618081
M000   ID1   250        0.14170168
M000   ID9   250        0.13072267
M000   ID10   250        0.66666667
M000   ID7   250        0.12423569
M000   ID2   250        0.16386270
M007   ID3   250        0.28750647
M007   ID2   250        0.34490013
M007   ID4   250        0.31409096
M007   ID9   250        0.20161947
M007   ID10   250        0.38449203
M007   ID1   250        0.32411011
M007   ID7   250        0.22900797
M005   ID5   250        0.15518908
M007   ID6   250        0.23633302
M005   ID9   250        0.20437674
M007   ID5   250        0.38180126
M005   ID3   250        0.18161662
M005   ID10   250        0.25362509
M005   ID6   250        0.13731784
M005   ID7   250        0.16535725
M005   ID2   250        0.19471767
M005   ID4   250        0.13588020
M005   ID1   250        0.19153850
M004   ID3   250        0.35516248
M004   ID9   250        0.33985572
M004   ID7   250        0.20513488
M004   ID2   250        0.30367290
M004   ID6   250        0.29135439
M004   ID5   250        0.30522294
M004   ID1   250        0.38436030
M006   ID9   250        0.22551035
M004   ID4   250        0.21021646
M004   ID10   250        0.37170088
M006   ID5   250        0.24082632
M006   ID10   250        0.30851343
M006   ID6   250        0.22237422
M006   ID1   250        0.24930944
M006   ID3   250        0.31165538
M006   ID4   250        0.26507156
M006   ID2   250        0.23164947
M008   ID5   250        0.30211660
M008   ID6   250        0.21265213
M006   ID7   250        0.17350384
M008   ID9   250        0.23408242
M008   ID2   250        0.43115313
M008   ID3   250        0.32750085
M008   ID7   250        0.19419398
M008   ID4   250        0.25309637
M008   ID1   250        0.26044553
M008   ID10   250        0.34616553
M009   ID1   250        0.15752001
M009   ID3   250        0.19666023
M009   ID7   250        0.24381080
M009   ID4   250        0.00000000
M009   ID5   250        0.18496023
M009   ID10   250        0.27976027
M009   ID9   250        0.15498944
M009   ID6   250        0.18268846
M009   ID2   250        0.20954524
