"Topic"	"Peer"	"Length"	"Evaluator"	"Grade"	"TrueLength"	"LengthAwareGrade"
"M000"	"ID1"	250	"X"	5	250	5.00
"M000"	"ID1"	250	"Y"	2	250	2.00
"M000"	"ID1"	250	"Z"	4	250	4.00
"M000"	"ID10"	250	"X"	3	245	3.00
"M000"	"ID10"	250	"Y"	5	245	5.00
"M000"	"ID10"	250	"Z"	4	245	4.00
"M000"	"ID2"	250	"X"	2	250	2.00
"M000"	"ID2"	250	"Y"	3	250	3.00
"M000"	"ID2"	250	"Z"	2	250	2.00
"M000"	"ID3"	250	"X"	3	216	2.70
"M000"	"ID3"	250	"Y"	3	216	2.70
"M000"	"ID3"	250	"Z"	2	216	1.80
"M000"	"ID4"	250	"X"	2	250	2.00
"M000"	"ID4"	250	"Y"	3	250	3.00
"M000"	"ID4"	250	"Z"	1	250	1.00
"M000"	"ID6"	250	"X"	3	211	2.64
"M000"	"ID6"	250	"Y"	4	211	3.52
"M000"	"ID6"	250	"Z"	2	211	1.76
"M000"	"ID7"	250	"X"	3	250	3.00
"M000"	"ID7"	250	"Y"	4	250	4.00
"M000"	"ID7"	250	"Z"	3	250	3.00
"M000"	"ID8"	250	"X"	4	237	3.95
"M000"	"ID8"	250	"Y"	4	237	3.95
"M000"	"ID8"	250	"Z"	3	237	2.96
"M000"	"ID9"	250	"X"	3	248	3.00
"M000"	"ID9"	250	"Y"	5	248	5.00
"M000"	"ID9"	250	"Z"	4	248	4.00
"M001"	"ID1"	250	"X"	4	246	4.00
"M001"	"ID1"	250	"Y"	2	246	2.00
"M001"	"ID1"	250	"Z"	2	246	2.00
"M001"	"ID10"	250	"X"	2	244	2.00
"M001"	"ID10"	250	"Y"	3	244	3.00
"M001"	"ID10"	250	"Z"	4	244	4.00
"M001"	"ID2"	250	"X"	1	250	1.00
"M001"	"ID2"	250	"Y"	2	250	2.00
"M001"	"ID2"	250	"Z"	5	250	5.00
"M001"	"ID3"	250	"X"	3	211	2.64
"M001"	"ID3"	250	"Y"	4	211	3.52
"M001"	"ID3"	250	"Z"	4	211	3.52
"M001"	"ID4"	250	"X"	2	249	2.00
"M001"	"ID4"	250	"Y"	4	249	4.00
"M001"	"ID4"	250	"Z"	1	249	1.00
"M001"	"ID6"	250	"X"	2	183	1.53
"M001"	"ID6"	250	"Y"	3	183	2.29
"M001"	"ID6"	250	"Z"	1	183	0.76
"M001"	"ID7"	250	"X"	3	250	3.00
"M001"	"ID7"	250	"Y"	4	250	4.00
"M001"	"ID7"	250	"Z"	4	250	4.00
"M001"	"ID8"	250	"X"	2	248	2.00
"M001"	"ID8"	250	"Y"	4	248	4.00
"M001"	"ID8"	250	"Z"	4	248	4.00
"M001"	"ID9"	250	"X"	1	249	1.00
"M001"	"ID9"	250	"Y"	4	249	4.00
"M001"	"ID9"	250	"Z"	5	249	5.00
"M002"	"ID1"	250	"X"	5	250	5.00
"M002"	"ID1"	250	"Y"	5	250	5.00
"M002"	"ID1"	250	"Z"	4	250	4.00
"M002"	"ID10"	250	"X"	2	241	2.00
"M002"	"ID10"	250	"Y"	3	241	3.00
"M002"	"ID10"	250	"Z"	5	241	5.00
"M002"	"ID2"	250	"X"	4	250	4.00
"M002"	"ID2"	250	"Y"	2	250	2.00
"M002"	"ID2"	250	"Z"	5	250	5.00
"M002"	"ID3"	250	"X"	4	209	3.48
"M002"	"ID3"	250	"Y"	3	209	2.61
"M002"	"ID3"	250	"Z"	3	209	2.61
"M002"	"ID4"	250	"X"	3	246	3.00
"M002"	"ID4"	250	"Y"	5	246	5.00
"M002"	"ID4"	250	"Z"	2	246	2.00
"M002"	"ID6"	250	"X"	2	217	1.81
"M002"	"ID6"	250	"Y"	3	217	2.71
"M002"	"ID6"	250	"Z"	3	217	2.71
"M002"	"ID7"	250	"X"	5	250	5.00
"M002"	"ID7"	250	"Y"	2	250	2.00
"M002"	"ID7"	250	"Z"	4	250	4.00
"M002"	"ID8"	250	"X"	3	238	2.98
"M002"	"ID8"	250	"Y"	3	238	2.98
"M002"	"ID8"	250	"Z"	4	238	3.97
"M002"	"ID9"	250	"X"	5	249	5.00
"M002"	"ID9"	250	"Y"	3	249	3.00
"M002"	"ID9"	250	"Z"	4	249	4.00
"M003"	"ID1"	250	"X"	5	244	5.00
"M003"	"ID1"	250	"Y"	3	244	3.00
"M003"	"ID1"	250	"Z"	5	244	5.00
"M003"	"ID10"	250	"X"	3	244	3.00
"M003"	"ID10"	250	"Y"	4	244	4.00
"M003"	"ID10"	250	"Z"	3	244	3.00
"M003"	"ID2"	250	"X"	3	250	3.00
"M003"	"ID2"	250	"Y"	2	250	2.00
"M003"	"ID2"	250	"Z"	3	250	3.00
"M003"	"ID3"	250	"X"	2	223	1.86
"M003"	"ID3"	250	"Y"	4	223	3.72
"M003"	"ID3"	250	"Z"	4	223	3.72
"M003"	"ID4"	250	"X"	4	249	4.00
"M003"	"ID4"	250	"Y"	4	249	4.00
"M003"	"ID4"	250	"Z"	1	249	1.00
"M003"	"ID6"	250	"X"	1	199	0.83
"M003"	"ID6"	250	"Y"	2	199	1.66
"M003"	"ID6"	250	"Z"	4	199	3.32
"M003"	"ID7"	250	"X"	3	250	3.00
"M003"	"ID7"	250	"Y"	2	250	2.00
"M003"	"ID7"	250	"Z"	3	250	3.00
"M003"	"ID8"	250	"X"	4	238	3.97
"M003"	"ID8"	250	"Y"	5	238	4.96
"M003"	"ID8"	250	"Z"	5	238	4.96
"M003"	"ID9"	250	"X"	4	246	4.00
"M003"	"ID9"	250	"Y"	3	246	3.00
"M003"	"ID9"	250	"Z"	4	246	4.00
"M004"	"ID1"	250	"X"	4	244	4.00
"M004"	"ID1"	250	"Y"	4	244	4.00
"M004"	"ID1"	250	"Z"	4	244	4.00
"M004"	"ID10"	250	"X"	4	244	4.00
"M004"	"ID10"	250	"Y"	3	244	3.00
"M004"	"ID10"	250	"Z"	4	244	4.00
"M004"	"ID2"	250	"X"	4	247	4.00
"M004"	"ID2"	250	"Y"	2	247	2.00
"M004"	"ID2"	250	"Z"	5	247	5.00
"M004"	"ID3"	250	"X"	4	202	3.37
"M004"	"ID3"	250	"Y"	4	202	3.37
"M004"	"ID3"	250	"Z"	3	202	2.53
"M004"	"ID4"	250	"X"	3	248	3.00
"M004"	"ID4"	250	"Y"	4	248	4.00
"M004"	"ID4"	250	"Z"	2	248	2.00
"M004"	"ID6"	250	"X"	2	232	1.93
"M004"	"ID6"	250	"Y"	2	232	1.93
"M004"	"ID6"	250	"Z"	5	232	4.83
"M004"	"ID7"	250	"X"	5	250	5.00
"M004"	"ID7"	250	"Y"	4	250	4.00
"M004"	"ID7"	250	"Z"	3	250	3.00
"M004"	"ID8"	250	"X"	3	237	2.96
"M004"	"ID8"	250	"Y"	4	237	3.95
"M004"	"ID8"	250	"Z"	4	237	3.95
"M004"	"ID9"	250	"X"	4	248	4.00
"M004"	"ID9"	250	"Y"	4	248	4.00
"M004"	"ID9"	250	"Z"	4	248	4.00
"M005"	"ID1"	250	"X"	4	245	4.00
"M005"	"ID1"	250	"Y"	4	245	4.00
"M005"	"ID1"	250	"Z"	3	245	3.00
"M005"	"ID10"	250	"X"	3	241	3.00
"M005"	"ID10"	250	"Y"	4	241	4.00
"M005"	"ID10"	250	"Z"	3	241	3.00
"M005"	"ID2"	250	"X"	3	250	3.00
"M005"	"ID2"	250	"Y"	3	250	3.00
"M005"	"ID2"	250	"Z"	3	250	3.00
"M005"	"ID3"	250	"X"	2	215	1.79
"M005"	"ID3"	250	"Y"	4	215	3.58
"M005"	"ID3"	250	"Z"	4	215	3.58
"M005"	"ID4"	250	"X"	4	249	4.00
"M005"	"ID4"	250	"Y"	3	249	3.00
"M005"	"ID4"	250	"Z"	1	249	1.00
"M005"	"ID6"	250	"X"	5	199	4.15
"M005"	"ID6"	250	"Y"	2	199	1.66
"M005"	"ID6"	250	"Z"	3	199	2.49
"M005"	"ID7"	250	"X"	2	250	2.00
"M005"	"ID7"	250	"Y"	3	250	3.00
"M005"	"ID7"	250	"Z"	2	250	2.00
"M005"	"ID8"	250	"X"	4	233	3.88
"M005"	"ID8"	250	"Y"	5	233	4.85
"M005"	"ID8"	250	"Z"	3	233	2.91
"M005"	"ID9"	250	"X"	4	247	4.00
"M005"	"ID9"	250	"Y"	4	247	4.00
"M005"	"ID9"	250	"Z"	4	247	4.00
"M006"	"ID1"	250	"X"	4	248	4.00
