"Topic"	"Peer"	"Length"	"Evaluator"	"Grade"	"TrueLength"	"LengthAwareGrade"
"M000"	"ID1"	250	"W"	3	250	3.00
"M000"	"ID1"	250	"X"	4	250	4.00
"M000"	"ID1"	250	"Y"	3	250	3.00
"M000"	"ID1"	250	"Z"	3	250	3.00
"M000"	"ID10"	250	"W"	3	240	3.00
"M000"	"ID10"	250	"X"	3	240	3.00
"M000"	"ID10"	250	"Y"	2	240	2.00
"M000"	"ID10"	250	"Z"	2	240	2.00
"M000"	"ID2"	250	"W"	4	248	4.00
"M000"	"ID2"	250	"X"	3	248	3.00
"M000"	"ID2"	250	"Y"	3	248	3.00
"M000"	"ID2"	250	"Z"	2	248	2.00
"M000"	"ID3"	250	"W"	4	229	3.82
"M000"	"ID3"	250	"X"	4	229	3.82
"M000"	"ID3"	250	"Y"	2	229	1.91
"M000"	"ID3"	250	"Z"	4	229	3.82
"M000"	"ID4"	250	"W"	2	250	2.00
"M000"	"ID4"	250	"X"	2	250	2.00
"M000"	"ID4"	250	"Y"	1	250	1.00
"M000"	"ID4"	250	"Z"	1	250	1.00
"M000"	"ID7"	250	"W"	2	250	2.00
"M000"	"ID7"	250	"X"	3	250	3.00
"M000"	"ID7"	250	"Y"	2	250	2.00
"M000"	"ID7"	250	"Z"	2	250	2.00
"M000"	"ID9"	250	"W"	3	249	3.00
"M000"	"ID9"	250	"X"	3	249	3.00
"M000"	"ID9"	250	"Y"	3	249	3.00
"M000"	"ID9"	250	"Z"	2	249	2.00
"M001"	"ID1"	250	"W"	4	250	4.00
"M001"	"ID1"	250	"X"	4	250	4.00
"M001"	"ID1"	250	"Y"	2	250	2.00
"M001"	"ID1"	250	"Z"	2	250	2.00
"M001"	"ID10"	250	"W"	3	241	3.00
"M001"	"ID10"	250	"X"	2	241	2.00
"M001"	"ID10"	250	"Y"	1	241	1.00
"M001"	"ID10"	250	"Z"	2	241	2.00
"M001"	"ID2"	250	"W"	3	250	3.00
"M001"	"ID2"	250	"X"	3	250	3.00
"M001"	"ID2"	250	"Y"	2	250	2.00
"M001"	"ID2"	250	"Z"	2	250	2.00
"M001"	"ID3"	250	"W"	4	215	3.58
"M001"	"ID3"	250	"X"	4	215	3.58
"M001"	"ID3"	250	"Y"	2	215	1.79
"M001"	"ID3"	250	"Z"	3	215	2.69
"M001"	"ID4"	250	"W"	1	249	1.00
"M001"	"ID4"	250	"X"	1	249	1.00
"M001"	"ID4"	250	"Y"	1	249	1.00
"M001"	"ID4"	250	"Z"	1	249	1.00
"M001"	"ID7"	250	"W"	2	250	2.00
"M001"	"ID7"	250	"X"	2	250	2.00
"M001"	"ID7"	250	"Y"	2	250	2.00
"M001"	"ID7"	250	"Z"	2	250	2.00
"M001"	"ID9"	250	"W"	3	249	3.00
"M001"	"ID9"	250	"X"	3	249	3.00
"M001"	"ID9"	250	"Y"	4	249	4.00
"M001"	"ID9"	250	"Z"	4	249	4.00
"M002"	"ID1"	250	"W"	3	250	3.00
"M002"	"ID1"	250	"X"	4	250	4.00
"M002"	"ID1"	250	"Y"	2	250	2.00
"M002"	"ID1"	250	"Z"	3	250	3.00
"M002"	"ID10"	250	"W"	3	243	3.00
"M002"	"ID10"	250	"X"	2	243	2.00
"M002"	"ID10"	250	"Y"	2	243	2.00
"M002"	"ID10"	250	"Z"	3	243	3.00
"M002"	"ID2"	250	"W"	3	249	3.00
"M002"	"ID2"	250	"X"	3	249	3.00
"M002"	"ID2"	250	"Y"	3	249	3.00
"M002"	"ID2"	250	"Z"	3	249	3.00
"M002"	"ID3"	250	"W"	4	210	3.50
"M002"	"ID3"	250	"X"	3	210	2.63
"M002"	"ID3"	250	"Y"	3	210	2.63
"M002"	"ID3"	250	"Z"	4	210	3.50
"M002"	"ID4"	250	"W"	3	248	3.00
"M002"	"ID4"	250	"X"	2	248	2.00
"M002"	"ID4"	250	"Y"	2	248	2.00
"M002"	"ID4"	250	"Z"	2	248	2.00
"M002"	"ID7"	250	"W"	2	250	2.00
"M002"	"ID7"	250	"X"	2	250	2.00
"M002"	"ID7"	250	"Y"	2	250	2.00
"M002"	"ID7"	250	"Z"	2	250	2.00
"M002"	"ID9"	250	"W"	3	249	3.00
"M002"	"ID9"	250	"X"	3	249	3.00
"M002"	"ID9"	250	"Y"	4	249	4.00
"M002"	"ID9"	250	"Z"	2	249	2.00
"M003"	"ID1"	250	"W"	4	250	4.00
"M003"	"ID1"	250	"X"	3	250	3.00
"M003"	"ID1"	250	"Y"	2	250	2.00
"M003"	"ID1"	250	"Z"	4	250	4.00
"M003"	"ID10"	250	"W"	3	240	3.00
"M003"	"ID10"	250	"X"	2	240	2.00
"M003"	"ID10"	250	"Y"	2	240	2.00
"M003"	"ID10"	250	"Z"	4	240	4.00
"M003"	"ID2"	250	"W"	3	250	3.00
"M003"	"ID2"	250	"X"	3	250	3.00
"M003"	"ID2"	250	"Y"	2	250	2.00
"M003"	"ID2"	250	"Z"	3	250	3.00
"M003"	"ID3"	250	"W"	4	227	3.78
"M003"	"ID3"	250	"X"	3	227	2.84
"M003"	"ID3"	250	"Y"	3	227	2.84
"M003"	"ID3"	250	"Z"	4	227	3.78
"M003"	"ID4"	250	"W"	1	248	1.00
"M003"	"ID4"	250	"X"	1	248	1.00
"M003"	"ID4"	250	"Y"	1	248	1.00
"M003"	"ID4"	250	"Z"	1	248	1.00
"M003"	"ID7"	250	"W"	3	250	3.00
"M003"	"ID7"	250	"X"	3	250	3.00
"M003"	"ID7"	250	"Y"	3	250	3.00
"M003"	"ID7"	250	"Z"	3	250	3.00
"M003"	"ID9"	250	"W"	3	249	3.00
"M003"	"ID9"	250	"X"	3	249	3.00
"M003"	"ID9"	250	"Y"	4	249	4.00
"M003"	"ID9"	250	"Z"	2	249	2.00
"M004"	"ID1"	250	"W"	3	250	3.00
"M004"	"ID1"	250	"X"	3	250	3.00
"M004"	"ID1"	250	"Y"	4	250	4.00
"M004"	"ID1"	250	"Z"	2	250	2.00
"M004"	"ID10"	250	"W"	3	243	3.00
"M004"	"ID10"	250	"X"	3	243	3.00
"M004"	"ID10"	250	"Y"	3	243	3.00
"M004"	"ID10"	250	"Z"	3	243	3.00
"M004"	"ID2"	250	"W"	2	249	2.00
"M004"	"ID2"	250	"X"	3	249	3.00
"M004"	"ID2"	250	"Y"	2	249	2.00
"M004"	"ID2"	250	"Z"	2	249	2.00
"M004"	"ID3"	250	"W"	3	230	2.88
"M004"	"ID3"	250	"X"	3	230	2.88
"M004"	"ID3"	250	"Y"	3	230	2.88
