"Topic"	"Peer"	"Length"	"Evaluator"	"Grade"	"TrueLength"	"LengthAwareGrade"
"M000"	"ID1"	250	"A"	2	250	2.00
"M000"	"ID1"	250	"B"	3	250	3.00
"M000"	"ID1"	250	"C"	3	250	3.00
"M000"	"ID10"	250	"A"	3	241	3.00
"M000"	"ID10"	250	"B"	2	241	2.00
"M000"	"ID10"	250	"C"	3	241	3.00
"M000"	"ID2"	250	"A"	4	243	4.00
"M000"	"ID2"	250	"B"	4	243	4.00
"M000"	"ID2"	250	"C"	3	243	3.00
"M000"	"ID3"	250	"A"	3	230	2.88
"M000"	"ID3"	250	"B"	4	230	3.83
"M000"	"ID3"	250	"C"	4	230	3.83
"M000"	"ID4"	250	"A"	1	248	1.00
"M000"	"ID4"	250	"B"	2	248	2.00
"M000"	"ID4"	250	"C"	1	248	1.00
"M000"	"ID5"	250	"A"	4	217	3.62
"M000"	"ID5"	250	"B"	5	217	4.52
"M000"	"ID5"	250	"C"	3	217	2.71
"M000"	"ID6"	250	"A"	1	207	0.86
"M000"	"ID6"	250	"B"	3	207	2.59
"M000"	"ID6"	250	"C"	3	207	2.59
"M000"	"ID7"	250	"A"	2	250	2.00
"M000"	"ID7"	250	"B"	4	250	4.00
"M000"	"ID7"	250	"C"	2	250	2.00
"M000"	"ID8"	250	"A"	3	240	3.00
"M000"	"ID8"	250	"B"	3	240	3.00
"M000"	"ID8"	250	"C"	1	240	1.00
"M000"	"ID9"	250	"A"	2	249	2.00
"M000"	"ID9"	250	"B"	4	249	4.00
"M000"	"ID9"	250	"C"	1	249	1.00
"M001"	"ID1"	250	"A"	2	250	2.00
"M001"	"ID1"	250	"B"	4	250	4.00
"M001"	"ID1"	250	"C"	4	250	4.00
"M001"	"ID10"	250	"A"	3	240	3.00
"M001"	"ID10"	250	"B"	2	240	2.00
"M001"	"ID10"	250	"C"	3	240	3.00
"M001"	"ID2"	250	"A"	3	250	3.00
"M001"	"ID2"	250	"B"	5	250	5.00
"M001"	"ID2"	250	"C"	3	250	3.00
"M001"	"ID3"	250	"A"	3	231	2.89
"M001"	"ID3"	250	"B"	4	231	3.85
"M001"	"ID3"	250	"C"	5	231	4.81
"M001"	"ID4"	250	"A"	1	246	1.00
"M001"	"ID4"	250	"B"	3	246	3.00
"M001"	"ID4"	250	"C"	2	246	2.00
"M001"	"ID5"	250	"A"	2	241	2.00
"M001"	"ID5"	250	"B"	5	241	5.00
"M001"	"ID5"	250	"C"	3	241	3.00
"M001"	"ID6"	250	"A"	1	206	0.86
"M001"	"ID6"	250	"B"	1	206	0.86
"M001"	"ID6"	250	"C"	1	206	0.86
"M001"	"ID7"	250	"A"	1	250	1.00
"M001"	"ID7"	250	"B"	3	250	3.00
"M001"	"ID7"	250	"C"	3	250	3.00
"M001"	"ID8"	250	"A"	2	249	2.00
"M001"	"ID8"	250	"B"	3	249	3.00
"M001"	"ID8"	250	"C"	1	249	1.00
"M001"	"ID9"	250	"A"	2	249	2.00
"M001"	"ID9"	250	"B"	3	249	3.00
"M001"	"ID9"	250	"C"	1	249	1.00
"M002"	"ID1"	250	"A"	4	182	3.03
"M002"	"ID1"	250	"B"	4	182	3.03
"M002"	"ID1"	250	"C"	5	182	3.79
"M002"	"ID10"	250	"A"	4	241	4.00
"M002"	"ID10"	250	"B"	5	241	5.00
"M002"	"ID10"	250	"C"	4	241	4.00
"M002"	"ID2"	250	"A"	4	250	4.00
"M002"	"ID2"	250	"B"	5	250	5.00
"M002"	"ID2"	250	"C"	5	250	5.00
"M002"	"ID3"	250	"A"	5	227	4.73
"M002"	"ID3"	250	"B"	5	227	4.73
"M002"	"ID3"	250	"C"	5	227	4.73
"M002"	"ID4"	250	"A"	1	249	1.00
"M002"	"ID4"	250	"B"	3	249	3.00
"M002"	"ID4"	250	"C"	2	249	2.00
"M002"	"ID5"	250	"A"	3	233	2.91
"M002"	"ID5"	250	"B"	4	233	3.88
"M002"	"ID5"	250	"C"	4	233	3.88
"M002"	"ID6"	250	"A"	3	150	1.88
"M002"	"ID6"	250	"B"	3	150	1.88
"M002"	"ID6"	250	"C"	1	150	0.63
"M002"	"ID7"	250	"A"	1	250	1.00
"M002"	"ID7"	250	"B"	4	250	4.00
"M002"	"ID7"	250	"C"	5	250	5.00
"M002"	"ID8"	250	"A"	3	246	3.00
"M002"	"ID8"	250	"B"	3	246	3.00
"M002"	"ID8"	250	"C"	3	246	3.00
"M002"	"ID9"	250	"A"	3	249	3.00
"M002"	"ID9"	250	"B"	2	249	2.00
"M002"	"ID9"	250	"C"	1	249	1.00
"M003"	"ID1"	250	"A"	3	250	3.00
