"Topic"	"Peer"	"Length"	"Evaluator"	"Grade"	"TrueLength"	"LengthAwareGrade"
"M000"	"ID1"	250	"T"	3	250	3.00
"M000"	"ID1"	250	"U"	1	250	1.00
"M000"	"ID1"	250	"V"	3	250	3.00
"M000"	"ID10"	250	"T"	1	240	1.00
"M000"	"ID10"	250	"U"	2	240	2.00
"M000"	"ID10"	250	"V"	3	240	3.00
"M000"	"ID2"	250	"T"	2	250	2.00
"M000"	"ID2"	250	"U"	1	250	1.00
"M000"	"ID2"	250	"V"	2	250	2.00
"M000"	"ID3"	250	"T"	3	218	2.73
"M000"	"ID3"	250	"U"	3	218	2.73
"M000"	"ID3"	250	"V"	4	218	3.63
"M000"	"ID4"	250	"T"	1	249	1.00
"M000"	"ID4"	250	"U"	1	249	1.00
"M000"	"ID4"	250	"V"	2	249	2.00
"M000"	"ID5"	250	"T"	2	207	1.73
"M000"	"ID5"	250	"U"	2	207	1.73
"M000"	"ID5"	250	"V"	3	207	2.59
"M000"	"ID6"	250	"T"	1	158	0.66
"M000"	"ID6"	250	"U"	1	158	0.66
"M000"	"ID6"	250	"V"	2	158	1.32
"M000"	"ID7"	250	"T"	2	250	2.00
"M000"	"ID7"	250	"U"	2	250	2.00
"M000"	"ID7"	250	"V"	2	250	2.00
"M000"	"ID9"	250	"T"	2	249	2.00
"M000"	"ID9"	250	"U"	2	249	2.00
"M000"	"ID9"	250	"V"	3	249	3.00
"M001"	"ID1"	250	"U"	2	250	2.00
"M001"	"ID1"	250	"V"	3	250	3.00
"M001"	"ID1"	250	"W"	1	250	1.00
"M001"	"ID10"	250	"U"	3	241	3.00
"M001"	"ID10"	250	"V"	3	241	3.00
"M001"	"ID10"	250	"W"	1	241	1.00
"M001"	"ID2"	250	"U"	2	250	2.00
"M001"	"ID2"	250	"V"	2	250	2.00
"M001"	"ID2"	250	"W"	1	250	1.00
"M001"	"ID3"	250	"U"	2	234	1.95
"M001"	"ID3"	250	"V"	4	234	3.90
"M001"	"ID3"	250	"W"	4	234	3.90
"M001"	"ID4"	250	"U"	1	248	1.00
"M001"	"ID4"	250	"V"	1	248	1.00
"M001"	"ID4"	250	"W"	1	248	1.00
"M001"	"ID5"	250	"U"	2	221	1.84
"M001"	"ID5"	250	"V"	2	221	1.84
"M001"	"ID5"	250	"W"	1	221	0.92
"M001"	"ID6"	250	"U"	2	182	1.52
"M001"	"ID6"	250	"V"	3	182	2.28
"M001"	"ID6"	250	"W"	3	182	2.28
"M001"	"ID7"	250	"U"	2	250	2.00
"M001"	"ID7"	250	"V"	2	250	2.00
"M001"	"ID7"	250	"W"	2	250	2.00
"M001"	"ID9"	250	"U"	2	249	2.00
"M001"	"ID9"	250	"V"	2	249	2.00
"M001"	"ID9"	250	"W"	2	249	2.00
"M002"	"ID1"	250	"V"	4	250	4.00
"M002"	"ID1"	250	"W"	3	250	3.00
"M002"	"ID1"	250	"X"	3	250	3.00
"M002"	"ID10"	250	"V"	3	246	3.00
"M002"	"ID10"	250	"W"	1	246	1.00
"M002"	"ID10"	250	"X"	1	246	1.00
"M002"	"ID2"	250	"V"	3	249	3.00
"M002"	"ID2"	250	"W"	3	249	3.00
"M002"	"ID2"	250	"X"	3	249	3.00
"M002"	"ID3"	250	"V"	4	220	3.67
"M002"	"ID3"	250	"W"	5	220	4.58
"M002"	"ID3"	250	"X"	4	220	3.67
"M002"	"ID4"	250	"V"	2	248	2.00
"M002"	"ID4"	250	"W"	1	248	1.00
"M002"	"ID4"	250	"X"	1	248	1.00
"M002"	"ID5"	250	"V"	2	221	1.84
"M002"	"ID5"	250	"W"	1	221	0.92
"M002"	"ID5"	250	"X"	1	221	0.92
"M002"	"ID6"	250	"V"	2	170	1.42
"M002"	"ID6"	250	"W"	2	170	1.42
"M002"	"ID6"	250	"X"	2	170	1.42
"M002"	"ID7"	250	"V"	2	250	2.00
"M002"	"ID7"	250	"W"	1	250	1.00
"M002"	"ID7"	250	"X"	1	250	1.00
"M002"	"ID9"	250	"V"	2	249	2.00
"M002"	"ID9"	250	"W"	2	249	2.00
"M002"	"ID9"	250	"X"	2	249	2.00
"M003"	"ID1"	250	"T"	1	250	1.00
"M003"	"ID1"	250	"W"	2	250	2.00
"M003"	"ID1"	250	"X"	3	250	3.00
"M003"	"ID10"	250	"T"	2	243	2.00
"M003"	"ID10"	250	"W"	1	243	1.00
"M003"	"ID10"	250	"X"	1	243	1.00
"M003"	"ID2"	250	"T"	2	250	2.00
"M003"	"ID2"	250	"W"	2	250	2.00
"M003"	"ID2"	250	"X"	3	250	3.00
"M003"	"ID3"	250	"T"	3	227	2.84
"M003"	"ID3"	250	"W"	2	227	1.89
"M003"	"ID3"	250	"X"	3	227	2.84
"M003"	"ID4"	250	"T"	2	249	2.00
"M003"	"ID4"	250	"W"	1	249	1.00
"M003"	"ID4"	250	"X"	1	249	1.00
"M003"	"ID5"	250	"T"	1	216	0.90
"M003"	"ID5"	250	"W"	1	216	0.90
"M003"	"ID5"	250	"X"	1	216	0.90
"M003"	"ID6"	250	"T"	1	124	0.52
"M003"	"ID6"	250	"W"	2	124	1.03
"M003"	"ID6"	250	"X"	2	124	1.03
"M003"	"ID7"	250	"T"	2	250	2.00
"M003"	"ID7"	250	"W"	1	250	1.00
"M003"	"ID7"	250	"X"	1	250	1.00
"M003"	"ID9"	250	"T"	3	240	3.00
"M003"	"ID9"	250	"W"	2	240	2.00
"M003"	"ID9"	250	"X"	2	240	2.00
"M004"	"ID1"	250	"T"	2	249	2.00
"M004"	"ID1"	250	"U"	3	249	3.00
"M004"	"ID1"	250	"X"	3	249	3.00
"M004"	"ID10"	250	"T"	3	240	3.00
"M004"	"ID10"	250	"U"	3	240	3.00
"M004"	"ID10"	250	"X"	1	240	1.00
"M004"	"ID2"	250	"T"	2	250	2.00
"M004"	"ID2"	250	"U"	2	250	2.00
"M004"	"ID2"	250	"X"	3	250	3.00
"M004"	"ID3"	250	"T"	3	222	2.78
"M004"	"ID3"	250	"U"	3	222	2.78
"M004"	"ID3"	250	"X"	3	222	2.78
"M004"	"ID4"	250	"T"	2	249	2.00
"M004"	"ID4"	250	"U"	1	249	1.00
"M004"	"ID4"	250	"X"	1	249	1.00
"M004"	"ID5"	250	"T"	2	232	1.93
"M004"	"ID5"	250	"U"	2	232	1.93
"M004"	"ID5"	250	"X"	2	232	1.93
"M004"	"ID6"	250	"T"	3	191	2.39
"M004"	"ID6"	250	"U"	2	191	1.59
"M004"	"ID6"	250	"X"	3	191	2.39
"M004"	"ID7"	250	"T"	4	250	4.00
"M004"	"ID7"	250	"U"	3	250	3.00
"M004"	"ID7"	250	"X"	2	250	2.00
"M004"	"ID9"	250	"T"	2	249	2.00
"M004"	"ID9"	250	"U"	2	249	2.00
"M004"	"ID9"	250	"X"	2	249	2.00
"M005"	"ID1"	250	"T"	2	211	1.76
"M005"	"ID1"	250	"U"	2	211	1.76
"M005"	"ID1"	250	"V"	2	211	1.76
"M005"	"ID10"	250	"T"	3	246	3.00
"M005"	"ID10"	250	"U"	4	246	4.00
"M005"	"ID10"	250	"V"	3	246	3.00
"M005"	"ID2"	250	"T"	2	250	2.00
"M005"	"ID2"	250	"U"	2	250	2.00
"M005"	"ID2"	250	"V"	3	250	3.00
"M005"	"ID3"	250	"T"	4	209	3.48
"M005"	"ID3"	250	"U"	3	209	2.61
"M005"	"ID3"	250	"V"	4	209	3.48
