"Topic"	"Peer"	"Length"	"Evaluator"	"Grade"	"TrueLength"	"LengthAwareGrade"
"M000"	"ID1"	250	"A"	1	249	1.00
"M000"	"ID1"	250	"B"	4	249	4.00
"M000"	"ID1"	250	"C"	4	249	4.00
"M001"	"ID1"	250	"A"	2	250	2.00
"M001"	"ID1"	250	"B"	4	250	4.00
"M001"	"ID1"	250	"C"	2	250	2.00
"M002"	"ID1"	250	"A"	2	245	2.00
"M002"	"ID1"	250	"B"	3	245	3.00
"M002"	"ID1"	250	"C"	2	245	2.00
"M003"	"ID1"	250	"A"	3	247	3.00
"M003"	"ID1"	250	"B"	4	247	4.00
"M003"	"ID1"	250	"C"	3	247	3.00
"M004"	"ID1"	250	"A"	2	248	2.00
"M004"	"ID1"	250	"B"	5	248	5.00
"M004"	"ID1"	250	"C"	4	248	4.00
"M005"	"ID1"	250	"A"	3	250	3.00
"M005"	"ID1"	250	"B"	4	250	4.00
"M005"	"ID1"	250	"C"	2	250	2.00
"M006"	"ID1"	250	"A"	3	250	3.00
"M006"	"ID1"	250	"B"	5	250	5.00
"M006"	"ID1"	250	"C"	1	250	1.00
"M007"	"ID1"	250	"A"	2	249	2.00
"M007"	"ID1"	250	"B"	4	249	4.00
"M007"	"ID1"	250	"C"	3	249	3.00
"M008"	"ID1"	250	"A"	2	250	2.00
"M008"	"ID1"	250	"B"	4	250	4.00
"M008"	"ID1"	250	"C"	3	250	3.00
"M009"	"ID1"	250	"A"	2	250	2.00
"M009"	"ID1"	250	"B"	4	250	4.00
"M009"	"ID1"	250	"C"	3	250	3.00
"M000"	"ID10"	250	"A"	3	250	3.00
"M000"	"ID10"	250	"B"	4	250	4.00
"M000"	"ID10"	250	"C"	3	250	3.00
"M001"	"ID10"	250	"A"	1	250	1.00
"M001"	"ID10"	250	"B"	4	250	4.00
"M001"	"ID10"	250	"C"	2	250	2.00
"M002"	"ID10"	250	"A"	3	244	3.00
"M002"	"ID10"	250	"B"	4	244	4.00
"M002"	"ID10"	250	"C"	2	244	2.00
"M003"	"ID10"	250	"A"	2	241	2.00
"M003"	"ID10"	250	"B"	4	241	4.00
"M003"	"ID10"	250	"C"	3	241	3.00
"M004"	"ID10"	250	"A"	2	240	2.00
"M004"	"ID10"	250	"B"	5	240	5.00
"M004"	"ID10"	250	"C"	3	240	3.00
"M005"	"ID10"	250	"A"	2	242	2.00
"M005"	"ID10"	250	"B"	5	242	5.00
"M005"	"ID10"	250	"C"	3	242	3.00
"M006"	"ID10"	250	"A"	3	240	3.00
"M006"	"ID10"	250	"B"	4	240	4.00
"M006"	"ID10"	250	"C"	4	240	4.00
"M007"	"ID10"	250	"A"	3	241	3.00
"M007"	"ID10"	250	"B"	5	241	5.00
"M007"	"ID10"	250	"C"	4	241	4.00
"M008"	"ID10"	250	"A"	4	243	4.00
"M008"	"ID10"	250	"B"	5	243	5.00
"M008"	"ID10"	250	"C"	3	243	3.00
"M009"	"ID10"	250	"A"	2	250	2.00
"M009"	"ID10"	250	"B"	5	250	5.00
"M009"	"ID10"	250	"C"	2	250	2.00
"M000"	"ID2"	250	"A"	3	250	3.00
"M000"	"ID2"	250	"B"	5	250	5.00
"M000"	"ID2"	250	"C"	3	250	3.00
"M001"	"ID2"	250	"A"	1	249	1.00
"M001"	"ID2"	250	"B"	4	249	4.00
"M001"	"ID2"	250	"C"	3	249	3.00
"M002"	"ID2"	250	"A"	3	250	3.00
"M002"	"ID2"	250	"B"	4	250	4.00
"M002"	"ID2"	250	"C"	3	250	3.00
"M003"	"ID2"	250	"A"	3	250	3.00
"M003"	"ID2"	250	"B"	5	250	5.00
"M003"	"ID2"	250	"C"	3	250	3.00
"M004"	"ID2"	250	"A"	2	248	2.00
"M004"	"ID2"	250	"B"	5	248	5.00
"M004"	"ID2"	250	"C"	3	248	3.00
"M005"	"ID2"	250	"A"	1	250	1.00
"M005"	"ID2"	250	"B"	5	250	5.00
"M005"	"ID2"	250	"C"	2	250	2.00
"M006"	"ID2"	250	"A"	2	250	2.00
"M006"	"ID2"	250	"B"	5	250	5.00
"M006"	"ID2"	250	"C"	2	250	2.00
"M007"	"ID2"	250	"A"	2	247	2.00
"M007"	"ID2"	250	"B"	5	247	5.00
"M007"	"ID2"	250	"C"	4	247	4.00
"M008"	"ID2"	250	"A"	3	249	3.00
"M008"	"ID2"	250	"B"	5	249	5.00
"M008"	"ID2"	250	"C"	5	249	5.00
"M009"	"ID2"	250	"A"	1	250	1.00
"M009"	"ID2"	250	"B"	5	250	5.00
"M009"	"ID2"	250	"C"	3	250	3.00
"M000"	"ID3"	250	"A"	3	208	2.60
"M000"	"ID3"	250	"B"	4	208	3.47
"M000"	"ID3"	250	"C"	2	208	1.73
"M001"	"ID3"	250	"A"	4	216	3.60
"M001"	"ID3"	250	"B"	5	216	4.50
"M001"	"ID3"	250	"C"	4	216	3.60
"M002"	"ID3"	250	"A"	4	212	3.53
"M002"	"ID3"	250	"B"	5	212	4.42
"M002"	"ID3"	250	"C"	5	212	4.42
"M003"	"ID3"	250	"A"	2	219	1.83
"M003"	"ID3"	250	"B"	5	219	4.56
