"Topic"	"Peer"	"Length"	"Evaluator"	"Grade"	"TrueLength"	"LengthAwareGrade"
"M000"	"ID1"	250	"A"	3	249	3.00
"M000"	"ID1"	250	"C"	4	249	4.00
"M000"	"ID1"	250	"D"	5	249	5.00
"M000"	"ID1"	250	"E"	2	249	2.00
"M000"	"ID10"	250	"A"	3	248	3.00
"M000"	"ID10"	250	"C"	2	248	2.00
"M000"	"ID10"	250	"D"	4	248	4.00
"M000"	"ID10"	250	"E"	2	248	2.00
"M000"	"ID2"	250	"A"	4	247	4.00
"M000"	"ID2"	250	"C"	2	247	2.00
"M000"	"ID2"	250	"D"	4	247	4.00
"M000"	"ID2"	250	"E"	2	247	2.00
"M000"	"ID3"	250	"A"	4	217	3.62
"M000"	"ID3"	250	"C"	3	217	2.71
"M000"	"ID3"	250	"D"	5	217	4.52
"M000"	"ID3"	250	"E"	1	217	0.90
"M000"	"ID4"	250	"A"	1	250	1.00
"M000"	"ID4"	250	"C"	1	250	1.00
"M000"	"ID4"	250	"D"	4	250	4.00
"M000"	"ID4"	250	"E"	3	250	3.00
"M000"	"ID7"	250	"A"	4	250	4.00
"M000"	"ID7"	250	"C"	2	250	2.00
"M000"	"ID7"	250	"D"	4	250	4.00
"M000"	"ID7"	250	"E"	3	250	3.00
"M000"	"ID9"	250	"A"	3	249	3.00
"M000"	"ID9"	250	"C"	3	249	3.00
"M000"	"ID9"	250	"D"	3	249	3.00
"M000"	"ID9"	250	"E"	1	249	1.00
"M001"	"ID1"	250	"A"	4	250	4.00
"M001"	"ID1"	250	"C"	2	250	2.00
"M001"	"ID1"	250	"E"	1	250	1.00
"M001"	"ID10"	250	"A"	4	245	4.00
"M001"	"ID10"	250	"C"	4	245	4.00
"M001"	"ID10"	250	"E"	1	245	1.00
"M001"	"ID2"	250	"A"	4	250	4.00
"M001"	"ID2"	250	"C"	2	250	2.00
"M001"	"ID2"	250	"E"	2	250	2.00
"M001"	"ID3"	250	"A"	5	217	4.52
"M001"	"ID3"	250	"C"	4	217	3.62
"M001"	"ID3"	250	"E"	1	217	0.90
"M001"	"ID4"	250	"A"	2	249	2.00
"M001"	"ID4"	250	"C"	1	249	1.00
"M001"	"ID4"	250	"E"	1	249	1.00
"M001"	"ID7"	250	"A"	2	250	2.00
"M001"	"ID7"	250	"C"	3	250	3.00
"M001"	"ID7"	250	"E"	2	250	2.00
"M001"	"ID9"	250	"A"	3	251	2.99
"M001"	"ID9"	250	"C"	4	251	3.98
"M001"	"ID9"	250	"E"	2	251	1.99
"M002"	"ID1"	250	"A"	5	250	5.00
"M002"	"ID1"	250	"B"	3	250	3.00
"M002"	"ID1"	250	"C"	3	250	3.00
"M002"	"ID10"	250	"A"	3	72	0.90
"M002"	"ID10"	250	"B"	2	72	0.60
"M002"	"ID10"	250	"C"	3	72	0.90
"M002"	"ID2"	250	"A"	4	248	4.00
"M002"	"ID2"	250	"B"	2	248	2.00
"M002"	"ID2"	250	"C"	3	248	3.00
"M002"	"ID3"	250	"A"	4	218	3.63
"M002"	"ID3"	250	"B"	5	218	4.54
"M002"	"ID3"	250	"C"	4	218	3.63
"M002"	"ID4"	250	"A"	3	247	3.00
"M002"	"ID4"	250	"B"	3	247	3.00
"M002"	"ID4"	250	"C"	2	247	2.00
"M002"	"ID7"	250	"A"	2	250	2.00
"M002"	"ID7"	250	"B"	3	250	3.00
"M002"	"ID7"	250	"C"	2	250	2.00
"M002"	"ID9"	250	"A"	4	248	4.00
"M002"	"ID9"	250	"B"	5	248	5.00
"M002"	"ID9"	250	"C"	2	248	2.00
"M003"	"ID1"	250	"A"	3	249	3.00
"M003"	"ID1"	250	"B"	3	249	3.00
"M003"	"ID1"	250	"H"	4	249	4.00
"M003"	"ID10"	250	"A"	3	246	3.00
"M003"	"ID10"	250	"B"	4	246	4.00
"M003"	"ID10"	250	"H"	2	246	2.00
"M003"	"ID2"	250	"A"	5	250	5.00
