"Topic"	"Peer"	"Length"	"Evaluator"	"Grade"	"TrueLength"	"LengthAwareGrade"
"M000"	"ID1"	250	"X"	2	247	2.00
"M000"	"ID1"	250	"Y"	2	247	2.00
"M000"	"ID1"	250	"Z"	2	247	2.00
"M000"	"ID10"	250	"X"	0	1	0.00
"M000"	"ID10"	250	"Y"	0	1	0.00
"M000"	"ID10"	250	"Z"	0	1	0.00
"M000"	"ID2"	250	"X"	2	244	2.00
"M000"	"ID2"	250	"Y"	2	244	2.00
"M000"	"ID2"	250	"Z"	2	244	2.00
"M000"	"ID3"	250	"X"	3	219	2.74
"M000"	"ID3"	250	"Y"	2	219	1.83
"M000"	"ID3"	250	"Z"	2	219	1.83
"M000"	"ID4"	250	"X"	1	248	1.00
"M000"	"ID4"	250	"Y"	2	248	2.00
"M000"	"ID4"	250	"Z"	1	248	1.00
"M000"	"ID5"	250	"X"	3	217	2.71
"M000"	"ID5"	250	"Y"	4	217	3.62
"M000"	"ID5"	250	"Z"	4	217	3.62
"M000"	"ID6"	250	"X"	1	179	0.75
"M000"	"ID6"	250	"Y"	1	179	0.75
"M000"	"ID6"	250	"Z"	1	179	0.75
"M000"	"ID7"	250	"X"	2	250	2.00
"M000"	"ID7"	250	"Y"	2	250	2.00
"M000"	"ID7"	250	"Z"	2	250	2.00
"M000"	"ID9"	250	"X"	1	248	1.00
"M000"	"ID9"	250	"Y"	1	248	1.00
"M000"	"ID9"	250	"Z"	1	248	1.00
"M001"	"ID1"	250	"X"	2	248	2.00
"M001"	"ID1"	250	"Y"	2	248	2.00
"M001"	"ID1"	250	"Z"	2	248	2.00
"M001"	"ID10"	250	"X"	2	241	2.00
"M001"	"ID10"	250	"Y"	2	241	2.00
"M001"	"ID10"	250	"Z"	2	241	2.00
"M001"	"ID2"	250	"X"	2	247	2.00
"M001"	"ID2"	250	"Y"	3	247	3.00
"M001"	"ID2"	250	"Z"	2	247	2.00
"M001"	"ID3"	250	"X"	2	208	1.73
"M001"	"ID3"	250	"Y"	2	208	1.73
"M001"	"ID3"	250	"Z"	2	208	1.73
"M001"	"ID4"	250	"X"	2	252	1.98
"M001"	"ID4"	250	"Y"	2	252	1.98
"M001"	"ID4"	250	"Z"	2	252	1.98
"M001"	"ID5"	250	"X"	3	243	3.00
"M001"	"ID5"	250	"Y"	3	243	3.00
"M001"	"ID5"	250	"Z"	3	243	3.00
"M001"	"ID6"	250	"X"	3	221	2.76
"M001"	"ID6"	250	"Y"	1	221	0.92
"M001"	"ID6"	250	"Z"	3	221	2.76
"M001"	"ID7"	250	"X"	2	250	2.00
"M001"	"ID7"	250	"Y"	2	250	2.00
"M001"	"ID7"	250	"Z"	2	250	2.00
"M001"	"ID9"	250	"X"	2	249	2.00
"M001"	"ID9"	250	"Y"	1	249	1.00
"M001"	"ID9"	250	"Z"	2	249	2.00
"M002"	"ID1"	250	"X"	2	244	2.00
"M002"	"ID1"	250	"Y"	2	244	2.00
"M002"	"ID1"	250	"Z"	2	244	2.00
"M002"	"ID10"	250	"X"	2	245	2.00
"M002"	"ID10"	250	"Y"	2	245	2.00
"M002"	"ID10"	250	"Z"	2	245	2.00
"M002"	"ID2"	250	"X"	3	250	3.00
"M002"	"ID2"	250	"Y"	2	250	2.00
"M002"	"ID2"	250	"Z"	3	250	3.00
"M002"	"ID3"	250	"X"	2	206	1.72
"M002"	"ID3"	250	"Y"	2	206	1.72
"M002"	"ID3"	250	"Z"	2	206	1.72
"M002"	"ID4"	250	"X"	1	146	0.61
"M002"	"ID4"	250	"Y"	1	146	0.61
"M002"	"ID4"	250	"Z"	1	146	0.61
"M002"	"ID5"	250	"X"	2	251	1.99
"M002"	"ID5"	250	"Y"	2	251	1.99
"M002"	"ID5"	250	"Z"	2	251	1.99
"M002"	"ID6"	250	"X"	3	221	2.76
"M002"	"ID6"	250	"Y"	2	221	1.84
"M002"	"ID6"	250	"Z"	2	221	1.84
"M002"	"ID7"	250	"X"	2	250	2.00
"M002"	"ID7"	250	"Y"	2	250	2.00
"M002"	"ID7"	250	"Z"	2	250	2.00
"M002"	"ID9"	250	"X"	2	249	2.00
"M002"	"ID9"	250	"Y"	2	249	2.00
"M002"	"ID9"	250	"Z"	2	249	2.00
"M003"	"ID1"	250	"X"	3	250	3.00
"M003"	"ID1"	250	"Y"	3	250	3.00
"M003"	"ID1"	250	"Z"	3	250	3.00
"M003"	"ID10"	250	"X"	1	241	1.00
"M003"	"ID10"	250	"Y"	2	241	2.00
"M003"	"ID10"	250	"Z"	2	241	2.00
"M003"	"ID2"	250	"X"	2	249	2.00
"M003"	"ID2"	250	"Y"	2	249	2.00
"M003"	"ID2"	250	"Z"	2	249	2.00
"M003"	"ID3"	250	"X"	3	213	2.66
"M003"	"ID3"	250	"Y"	3	213	2.66
"M003"	"ID3"	250	"Z"	3	213	2.66
"M003"	"ID4"	250	"X"	1	246	1.00
"M003"	"ID4"	250	"Y"	2	246	2.00
"M003"	"ID4"	250	"Z"	1	246	1.00
"M003"	"ID5"	250	"X"	3	239	2.99
"M003"	"ID5"	250	"Y"	2	239	1.99
"M003"	"ID5"	250	"Z"	2	239	1.99
"M003"	"ID6"	250	"X"	2	214	1.78
"M003"	"ID6"	250	"Y"	2	214	1.78
"M003"	"ID6"	250	"Z"	2	214	1.78
"M003"	"ID7"	250	"X"	2	250	2.00
