APW19981124.0554::17 APW19981124.0554::18 1.0
APW19981124.0554::1 APW19981124.0554::10 1.0
APW19981124.0554::5 APW19981124.0554::10 1.0
APW19981124.0554::6 APW19981124.0554::10 1.0
APW19981124.0554::9 APW19981124.0554::10 1.0
APW19981126.0443::2 APW19981126.0443::3 1.0
APW19981126.0443::6 APW19981126.0443::3 1.0
APW19981126.0443::8 APW19981126.0443::3 1.0
APW19981126.0443::15 APW19981126.0443::3 1.0
APW19981126.0443::11 APW19981126.0443::3 1.0
APW19981126.0443::10 APW19981126.0443::3 1.0
APW19981126.0443::0 APW19981126.0443::3 1.0
APW19981126.0443::3 APW19981126.0443::2 1.0
APW19981126.0443::6 APW19981126.0443::2 1.0
APW19981126.0443::8 APW19981126.0443::2 1.0
APW19981126.0443::15 APW19981126.0443::2 1.0
APW19981126.0443::11 APW19981126.0443::2 1.0
APW19981126.0443::10 APW19981126.0443::2 1.0
APW19981126.0443::0 APW19981126.0443::2 1.0
APW19981126.0443::3 APW19981126.0443::5 1.0
APW19981126.0443::3 APW19981126.0443::6 1.0
APW19981126.0443::2 APW19981126.0443::6 1.0
APW19981126.0443::8 APW19981126.0443::6 1.0
APW19981126.0443::15 APW19981126.0443::6 1.0
APW19981126.0443::11 APW19981126.0443::6 1.0
APW19981126.0443::10 APW19981126.0443::6 1.0
APW19981126.0443::0 APW19981126.0443::6 1.0
APW19981126.0443::3 APW19981126.0443::8 1.0
APW19981126.0443::2 APW19981126.0443::8 1.0
APW19981126.0443::6 APW19981126.0443::8 1.0
APW19981126.0443::15 APW19981126.0443::8 1.0
APW19981126.0443::11 APW19981126.0443::8 1.0
APW19981126.0443::10 APW19981126.0443::8 1.0
APW19981126.0443::0 APW19981126.0443::8 1.0
APW19981205.0807::5 APW19981205.0807::7 1.0
APW19981205.0792::5 APW19981205.0807::7 1.0
APW19981205.0807::3 APW19981205.0807::7 1.0
APW19981205.0792::3 APW19981205.0807::7 1.0
APW19981205.0807::7 APW19981205.0807::5 1.0
APW19981205.0792::7 APW19981205.0807::5 1.0
APW19981205.0807::3 APW19981205.0807::5 1.0
APW19981205.0792::3 APW19981205.0807::5 1.0
APW19981126.0443::3 APW19981126.0443::15 1.0
APW19981126.0443::2 APW19981126.0443::15 1.0
APW19981126.0443::6 APW19981126.0443::15 1.0
APW19981126.0443::8 APW19981126.0443::15 1.0
APW19981126.0443::11 APW19981126.0443::15 1.0
APW19981126.0443::10 APW19981126.0443::15 1.0
APW19981126.0443::0 APW19981126.0443::15 1.0
APW19981221.0448::3 APW19981221.0448::5 1.0
APW19981221.0448::15 APW19981221.0448::5 1.0
APW19981221.0448::14 APW19981221.0448::5 1.0
APW19981221.0448::1 APW19981221.0448::5 1.0
APW19981221.0448::5 APW19981221.0448::3 1.0
APW19981221.0448::15 APW19981221.0448::3 1.0
APW19981221.0448::14 APW19981221.0448::3 1.0
APW19981221.0448::1 APW19981221.0448::3 1.0
APW19981126.0443::3 APW19981126.0443::11 1.0
APW19981126.0443::2 APW19981126.0443::11 1.0
APW19981126.0443::6 APW19981126.0443::11 1.0
APW19981126.0443::8 APW19981126.0443::11 1.0
APW19981126.0443::15 APW19981126.0443::11 1.0
APW19981126.0443::10 APW19981126.0443::11 1.0
APW19981126.0443::0 APW19981126.0443::11 1.0
APW19981126.0443::3 APW19981126.0443::10 1.0
APW19981126.0443::2 APW19981126.0443::10 1.0
APW19981126.0443::6 APW19981126.0443::10 1.0
APW19981126.0443::8 APW19981126.0443::10 1.0
APW19981126.0443::15 APW19981126.0443::10 1.0
APW19981126.0443::11 APW19981126.0443::10 1.0
APW19981126.0443::0 APW19981126.0443::10 1.0
APW19981130.0497::6 APW19981130.0497::7 1.0
APW19981124.0554::1 APW19981124.0554::5 1.0
APW19981124.0554::10 APW19981124.0554::5 1.0
APW19981124.0554::6 APW19981124.0554::5 1.0
APW19981124.0554::9 APW19981124.0554::5 1.0
APW19981124.0554::1 APW19981124.0554::6 1.0
APW19981124.0554::10 APW19981124.0554::6 1.0
APW19981124.0554::5 APW19981124.0554::6 1.0
APW19981124.0554::9 APW19981124.0554::6 1.0
APW19981124.0554::1 APW19981124.0554::9 1.0
APW19981124.0554::10 APW19981124.0554::9 1.0
APW19981124.0554::5 APW19981124.0554::9 1.0
APW19981124.0554::6 APW19981124.0554::9 1.0
APW19981205.0807::5 APW19981205.0792::7 1.0
APW19981205.0792::5 APW19981205.0792::7 1.0
APW19981205.0807::3 APW19981205.0792::7 1.0
APW19981205.0792::3 APW19981205.0792::7 1.0
APW19981205.0807::7 APW19981205.0792::5 1.0
APW19981205.0792::7 APW19981205.0792::5 1.0
APW19981205.0807::3 APW19981205.0792::5 1.0
APW19981205.0792::3 APW19981205.0792::5 1.0
APW19981221.0448::5 APW19981221.0448::15 1.0
APW19981221.0448::3 APW19981221.0448::15 1.0
APW19981221.0448::14 APW19981221.0448::15 1.0
APW19981221.0448::1 APW19981221.0448::15 1.0
APW19981221.0448::5 APW19981221.0448::14 1.0
APW19981221.0448::3 APW19981221.0448::14 1.0
APW19981221.0448::15 APW19981221.0448::14 1.0
APW19981221.0448::1 APW19981221.0448::14 1.0
APW19981221.0448::6 APW19981130.0497::22 1.0
APW19981211.0982::0 APW19981211.0982::3 1.0
APW19981211.0972::8 APW19981211.0982::3 1.0
APW19981211.0972::0 APW19981211.0982::3 1.0
APW19981211.0990::0 APW19981211.0982::3 1.0
APW19981221.0448::0 APW19981211.0982::3 1.0
APW19981124.0554::0 APW19981211.0982::3 1.0
APW19981130.0497::3 APW19981211.0982::3 1.0
APW19981124.0554::6 APW19981211.0982::3 1.0
APW19981211.0982::0 APW19981211.0982::2 1.0
APW19981211.0972::8 APW19981211.0982::2 1.0
APW19981211.0972::0 APW19981211.0982::2 1.0
APW19981211.0990::0 APW19981211.0982::2 1.0
APW19981221.0448::0 APW19981211.0982::2 1.0
APW19981124.0554::0 APW19981211.0982::2 1.0
APW19981130.0497::3 APW19981211.0982::2 1.0
APW19981124.0554::6 APW19981211.0982::2 1.0
APW19981221.0448::21 APW19981124.0554::21 1.0
APW19981211.0982::0 APW19981211.0972::6 1.0
APW19981211.0972::8 APW19981211.0972::6 1.0
APW19981211.0972::0 APW19981211.0972::6 1.0
APW19981211.0990::0 APW19981211.0972::6 1.0
APW19981221.0448::0 APW19981211.0972::6 1.0
APW19981124.0554::0 APW19981211.0972::6 1.0
APW19981130.0497::3 APW19981211.0972::6 1.0
APW19981124.0554::6 APW19981211.0972::6 1.0
APW19981211.0982::0 APW19981211.0972::2 1.0
APW19981211.0972::8 APW19981211.0972::2 1.0
APW19981211.0972::0 APW19981211.0972::2 1.0
APW19981211.0990::0 APW19981211.0972::2 1.0
APW19981221.0448::0 APW19981211.0972::2 1.0
APW19981124.0554::0 APW19981211.0972::2 1.0
APW19981130.0497::3 APW19981211.0972::2 1.0
APW19981124.0554::6 APW19981211.0972::2 1.0
APW19981211.0982::0 APW19981211.0972::3 1.0
APW19981211.0972::8 APW19981211.0972::3 1.0
APW19981211.0972::0 APW19981211.0972::3 1.0
APW19981211.0990::0 APW19981211.0972::3 1.0
APW19981221.0448::0 APW19981211.0972::3 1.0
APW19981124.0554::0 APW19981211.0972::3 1.0
APW19981130.0497::3 APW19981211.0972::3 1.0
APW19981124.0554::6 APW19981211.0972::3 1.0
APW19981211.0982::0 APW19981211.0972::1 1.0
APW19981211.0972::8 APW19981211.0972::1 1.0
APW19981211.0972::0 APW19981211.0972::1 1.0
APW19981211.0990::0 APW19981211.0972::1 1.0
APW19981221.0448::0 APW19981211.0972::1 1.0
APW19981124.0554::0 APW19981211.0972::1 1.0
APW19981130.0497::3 APW19981211.0972::1 1.0
APW19981124.0554::6 APW19981211.0972::1 1.0
APW19981211.0982::0 APW19981211.0990::2 1.0
APW19981211.0972::8 APW19981211.0990::2 1.0
APW19981211.0972::0 APW19981211.0990::2 1.0
APW19981211.0990::0 APW19981211.0990::2 1.0
APW19981221.0448::0 APW19981211.0990::2 1.0
APW19981124.0554::0 APW19981211.0990::2 1.0
APW19981130.0497::3 APW19981211.0990::2 1.0
APW19981124.0554::6 APW19981211.0990::2 1.0
APW19981211.0982::0 APW19981211.0990::3 1.0
APW19981211.0972::8 APW19981211.0990::3 1.0
APW19981211.0972::0 APW19981211.0990::3 1.0
APW19981211.0990::0 APW19981211.0990::3 1.0
APW19981221.0448::0 APW19981211.0990::3 1.0
APW19981124.0554::0 APW19981211.0990::3 1.0
APW19981130.0497::3 APW19981211.0990::3 1.0
APW19981124.0554::6 APW19981211.0990::3 1.0
APW19981211.0982::0 APW19981130.0497::13 1.0
APW19981211.0972::0 APW19981130.0497::13 1.0
APW19981211.0990::0 APW19981130.0497::13 1.0
APW19981221.0448::21 APW19981124.0554::2 1.0
APW19981212.0541::3 APW19981212.0541::4 1.0
APW19981130.0497::0 APW19981130.0497::1 1.0
APW19981130.0497::9 APW19981130.0497::10 1.0
APW19981130.0497::13 APW19981130.0497::14 1.0
APW19981130.0497::19 APW19981130.0497::20 1.0
APW19981211.0990::0 APW19981211.0990::1 1.0
APW19981211.0990::3 APW19981211.0990::4 1.0
APW19981211.0990::5 APW19981211.0990::6 1.0
APW19981221.0448::1 APW19981221.0448::2 1.0
APW19981221.0448::3 APW19981221.0448::4 1.0
APW19981221.0448::6 APW19981221.0448::7 1.0
APW19981221.0448::7 APW19981221.0448::8 1.0
APW19981221.0448::10 APW19981221.0448::11 1.0
APW19981221.0448::20 APW19981221.0448::21 1.0
APW19981221.0448::22 APW19981221.0448::23 1.0
APW19981211.0972::3 APW19981211.0972::4 1.0
APW19981211.0972::5 APW19981211.0972::6 1.0
APW19981211.0972::6 APW19981211.0972::7 1.0
APW19981211.0972::7 APW19981211.0972::8 1.0
APW19981211.0972::8 APW19981211.0972::9 1.0
APW19981126.0443::2 APW19981126.0443::3 1.0
APW19981126.0443::6 APW19981126.0443::7 1.0
APW19981211.0982::0 APW19981211.0982::1 1.0
APW19981211.0982::3 APW19981211.0982::4 1.0
APW19981211.0982::5 APW19981211.0982::6 1.0
APW19981124.0554::7 APW19981124.0554::8 1.0
APW19981124.0554::12 APW19981124.0554::13 1.0
APW19981124.0554::15 APW19981124.0554::16 1.0
APW19981124.0554::16 APW19981124.0554::17 1.0
APW19981124.0554::19 APW19981124.0554::20 1.0
APW19981205.0792::7 APW19981205.0792::8 1.0
APW19981205.0807::7 APW19981205.0807::8 1.0
APW19981212.0541::1 APW19981212.0541::2 1.0
APW19981212.0541::1 APW19981212.0541::2 1.0
APW19981212.0541::2 APW19981212.0541::3 1.0
APW19981212.0541::0 APW19981212.0541::5 1.0
APW19981212.0541::1 APW19981212.0541::5 1.0
APW19981130.0497::1 APW19981130.0497::2 1.0
APW19981130.0497::3 APW19981130.0497::4 1.0
APW19981130.0497::3 APW19981130.0497::4 1.0
APW19981130.0497::3 APW19981130.0497::4 1.0
APW19981130.0497::14 APW19981130.0497::15 1.0
APW19981130.0497::15 APW19981130.0497::16 1.0
APW19981130.0497::17 APW19981130.0497::18 1.0
APW19981211.0990::0 APW19981211.0990::1 1.0
APW19981211.0990::0 APW19981211.0990::2 1.0
APW19981211.0990::0 APW19981211.0990::3 1.0
APW19981211.0990::2 APW19981211.0990::3 1.0
APW19981211.0990::2 APW19981211.0990::4 1.0
APW19981211.0990::4 APW19981211.0990::5 1.0
APW19981211.0990::4 APW19981211.0990::5 1.0
APW19981211.0990::5 APW19981211.0990::6 1.0
APW19981211.0990::5 APW19981211.0990::6 1.0
APW19981211.0990::2 APW19981211.0990::6 1.0
APW19981211.0990::0 APW19981211.0990::7 1.0
APW19981221.0448::7 APW19981221.0448::8 1.0
APW19981221.0448::12 APW19981221.0448::13 1.0
APW19981221.0448::18 APW19981221.0448::19 1.0
APW19981221.0448::19 APW19981221.0448::20 1.0
APW19981221.0448::22 APW19981221.0448::23 1.0
APW19981221.0448::23 APW19981221.0448::24 1.0
APW19981211.0972::0 APW19981211.0972::1 1.0
APW19981211.0972::0 APW19981211.0972::2 1.0
APW19981211.0972::1 APW19981211.0972::2 1.0
APW19981211.0972::0 APW19981211.0972::3 1.0
APW19981211.0972::1 APW19981211.0972::4 1.0
APW19981211.0972::3 APW19981211.0972::4 1.0
APW19981211.0972::4 APW19981211.0972::5 1.0
APW19981211.0972::4 APW19981211.0972::5 1.0
APW19981211.0972::0 APW19981211.0972::6 1.0
APW19981211.0972::8 APW19981211.0972::9 1.0
APW19981211.0972::8 APW19981211.0972::9 1.0
APW19981211.0972::1 APW19981211.0972::9 1.0
APW19981211.0972::3 APW19981211.0972::9 1.0
APW19981211.0972::0 APW19981211.0972::10 1.0
APW19981126.0443::0 APW19981126.0443::4 1.0
APW19981126.0443::1 APW19981126.0443::4 1.0
APW19981126.0443::3 APW19981126.0443::4 1.0
APW19981126.0443::6 APW19981126.0443::7 1.0
APW19981126.0443::8 APW19981126.0443::9 1.0
APW19981126.0443::0 APW19981126.0443::10 1.0
APW19981126.0443::3 APW19981126.0443::10 1.0
APW19981126.0443::9 APW19981126.0443::10 1.0
APW19981126.0443::1 APW19981126.0443::12 1.0
APW19981126.0443::0 APW19981126.0443::15 1.0
APW19981126.0443::1 APW19981126.0443::15 1.0
APW19981126.0443::14 APW19981126.0443::15 1.0
APW19981211.0982::0 APW19981211.0982::1 1.0
APW19981211.0982::0 APW19981211.0982::2 1.0
APW19981211.0982::0 APW19981211.0982::3 1.0
APW19981211.0982::2 APW19981211.0982::3 1.0
APW19981211.0982::2 APW19981211.0982::4 1.0
APW19981211.0982::4 APW19981211.0982::5 1.0
APW19981211.0982::4 APW19981211.0982::5 1.0
APW19981211.0982::5 APW19981211.0982::6 1.0
APW19981211.0982::5 APW19981211.0982::6 1.0
APW19981211.0982::2 APW19981211.0982::6 1.0
APW19981211.0982::0 APW19981211.0982::7 1.0
APW19981124.0554::0 APW19981124.0554::2 1.0
APW19981124.0554::5 APW19981124.0554::6 1.0
APW19981124.0554::9 APW19981124.0554::10 1.0
APW19981124.0554::13 APW19981124.0554::14 1.0
APW19981124.0554::7 APW19981124.0554::15 1.0
APW19981124.0554::13 APW19981124.0554::15 1.0
APW19981124.0554::14 APW19981124.0554::15 1.0
APW19981124.0554::13 APW19981124.0554::16 1.0
APW19981124.0554::0 APW19981124.0554::21 1.0
APW19981124.0554::9 APW19981124.0554::21 1.0
APW19981205.0792::0 APW19981205.0792::1 1.0
APW19981205.0792::0 APW19981205.0792::4 1.0
APW19981205.0792::7 APW19981205.0792::8 1.0
APW19981205.0792::0 APW19981205.0792::9 1.0
APW19981205.0792::10 APW19981205.0792::11 1.0
APW19981205.0807::0 APW19981205.0807::1 1.0
APW19981205.0807::0 APW19981205.0807::4 1.0
APW19981205.0807::7 APW19981205.0807::8 1.0
APW19981205.0807::0 APW19981205.0807::9 1.0
APW19981205.0807::10 APW19981205.0807::11 1.0
APW19981130.0497::0 APW19981130.0497::13 1.0
APW19981130.0497::11 APW19981130.0497::13 1.0
APW19981221.0448::0 APW19981221.0448::17 1.0
APW19981205.0792::3 APW19981205.0792::9 1.0
APW19981205.0792::7 APW19981205.0792::9 1.0
APW19981205.0807::3 APW19981205.0807::9 1.0
APW19981205.0807::7 APW19981205.0807::9 1.0
APW19981221.0448::3 APW19981221.0448::4 1.0
APW19981221.0448::4 APW19981221.0448::5 1.0
APW19981221.0448::14 APW19981221.0448::15 1.0
APW19981221.0448::16 APW19981221.0448::17 1.0
APW19981221.0448::19 APW19981221.0448::20 1.0
APW19981221.0448::22 APW19981221.0448::23 1.0
APW19981126.0443::6 APW19981126.0443::7 1.0
APW19981126.0443::8 APW19981126.0443::9 1.0
APW19981126.0443::11 APW19981126.0443::12 1.0
APW19981126.0443::17 APW19981126.0443::18 1.0
APW19981205.0792::5 APW19981205.0792::6 1.0
APW19981205.0792::7 APW19981205.0792::8 1.0
APW19981205.0807::5 APW19981205.0807::6 1.0
APW19981205.0807::7 APW19981205.0807::8 1.0
APW19981221.0448::7 APW19981221.0448::8 0.5
APW19981205.0807::7 APW19981205.0807::8 0.5
APW19981205.0807::7 APW19981205.0792::8 0.5
APW19981205.0792::7 APW19981205.0807::8 0.5
APW19981205.0792::7 APW19981205.0792::8 0.5
APW19981221.0448::22 APW19981221.0448::23 0.5
APW19981124.0554::7 APW19981124.0554::8 0.5
APW19981211.0972::3 APW19981211.0982::4 0.5
APW19981211.0972::3 APW19981211.0990::4 0.5
APW19981211.0972::3 APW19981211.0972::4 0.5
APW19981221.0448::6 APW19981221.0448::7 0.5
APW19981211.0982::5 APW19981211.0982::6 0.5
APW19981211.0982::5 APW19981211.0972::9 0.5
APW19981211.0982::5 APW19981211.0990::6 0.5
APW19981211.0972::5 APW19981211.0982::6 0.5
APW19981211.0972::5 APW19981211.0972::9 0.5
APW19981211.0972::5 APW19981211.0990::6 0.5
APW19981211.0990::5 APW19981211.0982::6 0.5
APW19981211.0990::5 APW19981211.0972::9 0.5
APW19981211.0990::5 APW19981211.0990::6 0.5
APW19981130.0497::19 APW19981130.0497::20 0.5
APW19981221.0448::1 APW19981221.0448::2 0.5
APW19981212.0541::6 APW19981211.0972::8 0.5
APW19981211.0972::7 APW19981211.0972::8 0.5
APW19981221.0448::10 APW19981221.0448::11 0.5
APW19981130.0497::9 APW19981130.0497::10 0.5
APW19981211.0982::5 APW19981211.0972::6 0.5
APW19981211.0990::5 APW19981211.0972::6 0.5
APW19981211.0972::5 APW19981211.0972::6 0.5
APW19981221.0448::3 APW19981221.0448::4 0.5
APW19981211.0982::0 APW19981211.0982::1 0.5
APW19981211.0982::0 APW19981211.0990::1 0.5
APW19981211.0972::0 APW19981211.0982::1 0.5
APW19981211.0972::0 APW19981211.0990::1 0.5
APW19981211.0990::0 APW19981211.0982::1 0.5
APW19981211.0990::0 APW19981211.0990::1 0.5
APW19981211.0972::2 APW19981211.0972::4 0.5
APW19981211.0972::2 APW19981211.0990::4 0.5
APW19981211.0972::2 APW19981211.0982::4 0.5
APW19981211.0990::3 APW19981211.0972::4 0.5
APW19981211.0990::3 APW19981211.0990::4 0.5
APW19981211.0990::3 APW19981211.0982::4 0.5
APW19981211.0982::3 APW19981211.0972::4 0.5
APW19981211.0982::3 APW19981211.0990::4 0.5
APW19981211.0982::3 APW19981211.0982::4 0.5
APW19981126.0443::6 APW19981126.0443::7 0.5
APW19981211.0972::8 APW19981211.0982::6 0.5
APW19981211.0972::8 APW19981211.0990::6 0.5
APW19981211.0972::8 APW19981211.0972::9 0.5
APW19981212.0541::3 APW19981212.0541::4 0.5
APW19981211.0972::6 APW19981212.0541::6 0.5
APW19981211.0972::6 APW19981211.0972::7 0.5
APW19981124.0554::16 APW19981124.0554::17 0.5
APW19981126.0443::2 APW19981126.0443::3 0.5
APW19981124.0554::15 APW19981124.0554::16 0.5
APW19981221.0448::20 APW19981221.0448::21 0.5
APW19981124.0554::12 APW19981124.0554::13 0.5
APW19981130.0497::13 APW19981130.0497::14 0.5
APW19981126.0443::19 APW19981126.0443::20 0.5
APW19981126.0443::19 APW19981124.0554::20 0.5
APW19981124.0554::19 APW19981126.0443::20 0.5
APW19981124.0554::19 APW19981124.0554::20 0.5
APW19981130.0497::0 APW19981130.0497::1 0.5

APW19981124.0554::3
APW19981130.0497::9
APW19981211.0990::8
APW19981211.0972::1

East Timor 's spiritual leader , Roman Catholic Bishop Carlos Belo , has said that between 30 and 40 people were reportedly killed near the villages of Alas and Same , 40 kilometers -LRB- 25 miles -RRB- southeast of Dili , East Timor capital .
Christians , mostly Protestants , dominate Kupang , about 1,875 kilometers -LRB- 1,172 miles -RRB- southeast of the Indonesian capital .
The half-island territory lies some 2,000 kilometers -LRB- 1,200 miles -RRB- southeast of Jakarta .
The attack took place Tuesday near Cailaco in East Timor , a former Portuguese colony , according to a statement issued by the pro-independence Christian Democratic Union of East Timor .

